% Daily baseline values on the 08A scale
% Created 06-Oct-2020 12:00:46
%
% The CO2 data here are daily baseline averages.  The file contains all
% valid readings, with missing values denoted by NaN.  The data used to
% calculate the daily averages have been screened to eliminate local
% influences, such as the impacts of downslope vegetation or volcanic
% fumaroles, on the record.
%
% We provide these data primarily for the users interested in subweekly or
% finer-scale variability. For users interested primarily in longer-term
% variability, we recommend using standard weekly or monthly products which
% are more authoritative on these longer time scales.  The standard weekly
% and monthly products are located at:
%
% http://scrippsco2.ucsd.edu/data/atmospheric_co2/
%
% Further details on these this high resolution dataset can be found in the
% technical report:
%
% Walker, S. J., R. F. Keeling and S. C. Piper
% (2016). Reconstruction of the Mauna Loa Carbon Dioxide Record using
% High Frequency APC Data from 1958 through 2004. La Jolla, California,
% Scripps Institution of Oceanography: 1-17.
%
%
% Yr    - Year
% Mn    - Month
% Dy    - Day
% CO2   - CO2 baseline value
% NB    - Number of hourly averages in the baseline
% scale - Calibration scale code
%
% Yr, Mn, Dy,    CO2, NB, scale
1958, 01, 01,    NaN,  0, 8.1
1958, 01, 02,    NaN,  0, 8.1
1958, 01, 03,    NaN,  0, 8.1
1958, 01, 04,    NaN,  0, 8.1
1958, 01, 05,    NaN,  0, 8.1
1958, 01, 06,    NaN,  0, 8.1
1958, 01, 07,    NaN,  0, 8.1
1958, 01, 08,    NaN,  0, 8.1
1958, 01, 09,    NaN,  0, 8.1
1958, 01, 10,    NaN,  0, 8.1
1958, 01, 11,    NaN,  0, 8.1
1958, 01, 12,    NaN,  0, 8.1
1958, 01, 13,    NaN,  0, 8.1
1958, 01, 14,    NaN,  0, 8.1
1958, 01, 15,    NaN,  0, 8.1
1958, 01, 16,    NaN,  0, 8.1
1958, 01, 17,    NaN,  0, 8.1
1958, 01, 18,    NaN,  0, 8.1
1958, 01, 19,    NaN,  0, 8.1
1958, 01, 20,    NaN,  0, 8.1
1958, 01, 21,    NaN,  0, 8.1
1958, 01, 22,    NaN,  0, 8.1
1958, 01, 23,    NaN,  0, 8.1
1958, 01, 24,    NaN,  0, 8.1
1958, 01, 25,    NaN,  0, 8.1
1958, 01, 26,    NaN,  0, 8.1
1958, 01, 27,    NaN,  0, 8.1
1958, 01, 28,    NaN,  0, 8.1
1958, 01, 29,    NaN,  0, 8.1
1958, 01, 30,    NaN,  0, 8.1
1958, 01, 31,    NaN,  0, 8.1
1958, 02, 01,    NaN,  0, 8.1
1958, 02, 02,    NaN,  0, 8.1
1958, 02, 03,    NaN,  0, 8.1
1958, 02, 04,    NaN,  0, 8.1
1958, 02, 05,    NaN,  0, 8.1
1958, 02, 06,    NaN,  0, 8.1
1958, 02, 07,    NaN,  0, 8.1
1958, 02, 08,    NaN,  0, 8.1
1958, 02, 09,    NaN,  0, 8.1
1958, 02, 10,    NaN,  0, 8.1
1958, 02, 11,    NaN,  0, 8.1
1958, 02, 12,    NaN,  0, 8.1
1958, 02, 13,    NaN,  0, 8.1
1958, 02, 14,    NaN,  0, 8.1
1958, 02, 15,    NaN,  0, 8.1
1958, 02, 16,    NaN,  0, 8.1
1958, 02, 17,    NaN,  0, 8.1
1958, 02, 18,    NaN,  0, 8.1
1958, 02, 19,    NaN,  0, 8.1
1958, 02, 20,    NaN,  0, 8.1
1958, 02, 21,    NaN,  0, 8.1
1958, 02, 22,    NaN,  0, 8.1
1958, 02, 23,    NaN,  0, 8.1
1958, 02, 24,    NaN,  0, 8.1
1958, 02, 25,    NaN,  0, 8.1
1958, 02, 26,    NaN,  0, 8.1
1958, 02, 27,    NaN,  0, 8.1
1958, 02, 28,    NaN,  0, 8.1
1958, 03, 01,    NaN,  0, 8.1
1958, 03, 02,    NaN,  0, 8.1
1958, 03, 03,    NaN,  0, 8.1
1958, 03, 04,    NaN,  0, 8.1
1958, 03, 05,    NaN,  0, 8.1
1958, 03, 06,    NaN,  0, 8.1
1958, 03, 07,    NaN,  0, 8.1
1958, 03, 08,    NaN,  0, 8.1
1958, 03, 09,    NaN,  0, 8.1
1958, 03, 10,    NaN,  0, 8.1
1958, 03, 11,    NaN,  0, 8.1
1958, 03, 12,    NaN,  0, 8.1
1958, 03, 13,    NaN,  0, 8.1
1958, 03, 14,    NaN,  0, 8.1
1958, 03, 15,    NaN,  0, 8.1
1958, 03, 16,    NaN,  0, 8.1
1958, 03, 17,    NaN,  0, 8.1
1958, 03, 18,    NaN,  0, 8.1
1958, 03, 19,    NaN,  0, 8.1
1958, 03, 20,    NaN,  0, 8.1
1958, 03, 21,    NaN,  0, 8.1
1958, 03, 22,    NaN,  0, 8.1
1958, 03, 23,    NaN,  0, 8.1
1958, 03, 24,    NaN,  0, 8.1
1958, 03, 25,    NaN,  0, 8.1
1958, 03, 26,    NaN,  0, 8.1
1958, 03, 27,    NaN,  0, 8.1
1958, 03, 28,    NaN,  0, 8.1
1958, 03, 29,    NaN,  0, 8.1
1958, 03, 30, 316.16, 13, 8.1
1958, 03, 31, 316.69, 13, 8.1
1958, 04, 01,    NaN,  0, 8.1
1958, 04, 02, 317.67,  3, 8.1
1958, 04, 03, 317.76,  4, 8.1
1958, 04, 04, 317.09, 17, 8.1
1958, 04, 05, 317.36,  7, 8.1
1958, 04, 06, 317.80,  6, 8.1
1958, 04, 07,    NaN,  0, 8.1
1958, 04, 08,    NaN,  0, 8.1
1958, 04, 09, 315.90,  7, 8.1
1958, 04, 10,    NaN,  0, 8.1
1958, 04, 11,    NaN,  0, 8.1
1958, 04, 12,    NaN,  0, 8.1
1958, 04, 13, 318.39,  7, 8.1
1958, 04, 14, 318.41,  1, 8.1
1958, 04, 15,    NaN,  0, 8.1
1958, 04, 16,    NaN,  0, 8.1
1958, 04, 17, 317.74,  7, 8.1
1958, 04, 18, 317.80,  9, 8.1
1958, 04, 19,    NaN,  0, 8.1
